date,open,close,high,low,volume,code
2016-12-15,35.031,33.907,35.136,33.745,786083.0,601318
2016-12-16,33.774,33.793,34.069,33.716,340994.0,601318
2016-12-19,33.793,33.716,33.907,33.631,295596.0,601318
2016-12-20,33.736,33.012,33.764,32.812,626950.0,601318
2016-12-21,33.193,33.088,33.383,32.964,376259.0,601318
2016-12-22,33.012,33.116,33.269,32.764,295009.0,601318
2016-12-23,33.04,33.078,33.116,32.764,301921.0,601318
2016-12-26,32.907,33.45,33.488,32.716,351312.0,601318
2016-12-27,33.335,33.583,33.659,33.316,217802.0,601318
2016-12-28,33.526,33.612,33.64,33.326,386318.0,601318
2016-12-29,33.478,33.459,33.612,33.364,290420.0,601318
2016-12-30,33.593,33.745,33.764,33.44,270763.0,601318
2017-01-03,33.659,33.983,34.297,33.64,296977.0,601318
2017-01-04,33.993,33.955,34.088,33.821,252574.0,601318
2017-01-05,34.031,34.031,34.231,33.983,286910.0,601318
2017-01-06,34.031,33.755,34.183,33.669,362862.0,601318
2017-01-09,33.783,33.736,33.859,33.593,270616.0,601318
2017-01-10,33.755,33.555,33.802,33.526,205350.0,601318
2017-01-11,33.574,33.555,33.745,33.431,209963.0,601318
2017-01-12,33.621,33.536,33.736,33.478,187187.0,601318
2017-01-13,33.555,33.869,34.193,33.516,330738.0,601318
2017-01-16,33.869,34.469,34.555,33.536,1129172.0,601318
2017-01-17,34.355,34.269,34.612,34.183,349493.0,601318
2017-01-18,34.355,34.488,34.707,34.345,266869.0,601318
2017-01-19,34.412,34.336,34.64,34.212,199628.0,601318
2017-01-20,34.336,34.536,34.555,34.297,260332.0,601318
2017-01-23,34.536,34.478,34.688,34.326,398001.0,601318
2017-01-24,34.478,34.459,34.602,34.383,268665.0,601318
2017-01-25,34.478,34.697,34.717,34.374,358922.0,601318
2017-01-26,34.717,34.774,35.05,34.707,277205.0,601318
2017-02-03,34.764,33.926,34.764,33.907,489267.0,601318
2017-02-06,34.04,34.231,34.317,33.84,648914.0,601318
2017-02-07,34.288,34.345,34.517,34.212,486180.0,601318
2017-02-08,34.326,34.307,34.364,34.002,396288.0,601318
2017-02-09,34.355,34.393,34.64,34.288,527568.0,601318
2017-02-10,34.488,34.478,34.612,34.383,399219.0,601318
2017-02-13,34.564,34.583,34.678,34.45,693540.0,601318
2017-02-14,34.669,34.383,34.669,34.24,490922.0,601318
2017-02-15,34.545,34.593,34.745,34.488,672852.0,601318
2017-02-16,34.688,34.574,34.697,34.469,347817.0,601318
2017-02-17,34.631,34.536,34.917,34.478,525503.0,601318
2017-02-20,34.583,35.069,35.136,34.526,741442.0,601318
2017-02-21,35.078,35.021,35.412,34.955,548331.0,601318
2017-02-22,35.126,35.069,35.164,34.926,380419.0,601318
2017-02-23,35.021,34.783,35.136,34.707,459520.0,601318
2017-02-24,34.793,34.821,34.831,34.631,256833.0,601318
2017-02-27,34.774,34.593,34.897,34.488,401406.0,601318
2017-02-28,34.593,34.507,34.707,34.469,268469.0,601318
